Dataset,XofN method,Ung or Org,Macro-AUROC,Hamming Loss,Subset Accuracy,Macro-F1,Macro-Recall,Macro-Precision,Ranking Loss,Nodes; Leaves,#XofN; #Feat/XofN,#Ung. Feats,XofN time (s); PCT tr. time (s)
fingerprint_ten,XofN Vouk,Org,0.597,0.407,0.073,0.58,0.577,0.589,0.29,163.4; 82.2,108.9; 2.3,449.0,3.9; 1.4
CPI_ten,XofN Vouk,Ung,0.612,0.391,0.06,0.601,0.602,0.621,0.277,61.4; 31.2,253.7; 3.4,1509.5,12.7; 0.9
CPI_ten,XofN Vouk,Org,0.599,0.403,0.061,0.583,0.574,0.612,0.281,94.6; 47.8,253.7; 3.4,1509.5,12.7; 2.6
CPI+fingerprint_ten,XofN Vouk,Ung,0.609,0.401,0.061,0.579,0.573,0.595,0.29,139.2; 70.1,124.8; 2.7,2040.4,16.1; 0.8
CPI+fingerprint_ten,XofN Vouk,Org,0.606,0.403,0.073,0.575,0.562,0.593,0.288,170.6; 85.8,124.8; 2.7,2040.4,16.1; 3.8
fingerprint_ten_mid,XofN Vouk,Ung,0.575,0.359,0.116,0.308,0.234,0.473,0.352,80.4; 40.7,152.9; 2.9,408.1,4.5; 0.8
fingerprint_ten_mid,XofN Vouk,Org,0.57,0.369,0.111,0.314,0.252,0.449,0.354,102.8; 51.9,152.9; 2.9,408.1,4.5; 1.4
CPI_ten_mid,XofN Vouk,Ung,0.571,0.355,0.112,0.346,0.266,0.524,0.375,57.6; 29.3,292.6; 2.5,1481.3,14.8; 1.0
CPI_ten_mid,XofN Vouk,Org,0.577,0.359,0.109,0.362,0.289,0.516,0.365,75.2; 38.1,292.6; 2.5,1481.3,14.8; 3.0
CPI+fingerprint_ten_mid,XofN Vouk,Ung,0.597,0.339,0.125,0.357,0.279,0.522,0.345,93.2; 47.1,176.2; 2.9,1997.2,19.4; 0.9
CPI+fingerprint_ten_mid,XofN Vouk,Org,0.593,0.341,0.127,0.349,0.27,0.515,0.35,106.6; 53.8,176.2; 2.9,1997.2,19.4; 3.4
