dataset,label,pruning,include_original_features,averageAUROC,FOne,Precision,Recall,nodes,leaves,#constr_feats,training_time
CPI+fingerprint_high_freq,se_C0027497,True,no_org,0.51699227,0.9143537537312032,0.8465365257201354,0.9957264957264957,3.4,2.2,21.7,0.3304885700112209
CPI+fingerprint_high_freq,se_C0027497,True,with_org,0.60847717,0.8883287619069927,0.8626625971629525,0.9188163721586644,105.4,53.2,21.7,2.7590820100158453
CPI+fingerprint_high_freq,se_C0042963,False,no_org,0.57985181,0.858920753277457,0.7690691386279195,0.9737429515094849,11.6,6.3,7.3,0.2746877999859862
CPI+fingerprint_high_freq,se_C0042963,False,with_org,0.60367954,0.8081270347374698,0.7934351758530018,0.8239529252323345,296.6,148.8,7.3,2.684288849972654
CPI+fingerprint_high_freq,se_C0042963,True,no_org,0.52420113,0.8631415435948684,0.763969722246455,0.9933499361430396,2.6,1.8,7.3,0.2746877999859862
CPI+fingerprint_high_freq,se_C0042963,True,with_org,0.59531478,0.8187570578038137,0.7943454420032108,0.8450665973437065,186.2,93.6,7.3,2.684288849972654
CPI+fingerprint_low_freq,se_C0011570,False,no_org,0.54713608,0.099437841150059,0.17412698412698413,0.08441119537245792,63.4,32.2,189.0,0.5443311800248921
CPI+fingerprint_low_freq,se_C0011570,False,with_org,0.5965905699999999,0.3682061138377382,0.36049603174603173,0.38432346681069524,323.8,162.4,189.0,3.1303690500091763
CPI+fingerprint_low_freq,se_C0011570,True,no_org,0.50424748,0.06794258373205742,0.11000000000000001,0.05380952380952381,23.4,12.2,189.0,0.5443311800248921
CPI+fingerprint_low_freq,se_C0011570,True,with_org,0.55914412,0.35735954988663876,0.4187031646514405,0.31868068198722815,180.0,90.5,189.0,3.1303690500091763
CPI+fingerprint_low_freq,se_C0018524,False,no_org,0.56322984,0.12590034962374874,0.4279761904761905,0.07492925711010817,11.4,6.2,4.5,0.26272130000870675
CPI+fingerprint_low_freq,se_C0018524,False,with_org,0.62608257,0.44384532536812255,0.42829905614005953,0.4711899512826074,327.8,164.4,4.5,3.1007885500090198
CPI+fingerprint_low_freq,se_C0018524,True,no_org,0.55985003,0.12416312109406738,0.4238095238095238,0.07335321298087255,5.4,3.2,4.5,0.26272130000870675
