feature,count_ones
cpi_9606.ENSP00000435591,18
cpi_9606.ENSP00000268053,18
cpi_9606.ENSP00000273550,18
cpi_9606.ENSP00000218388,18
cpi_9606.ENSP00000366005,18
cpi_9606.ENSP00000364252,18
cpi_9606.ENSP00000364709,18
cpi_9606.ENSP00000365775,18
cpi_9606.ENSP00000293275,18
cpi_9606.ENSP00000424040,18
cpi_9606.ENSP00000374467,18
cpi_9606.ENSP00000386210,18
cpi_9606.ENSP00000014930,18
cpi_9606.ENSP00000358525,18
cpi_9606.ENSP00000466933,18
cpi_9606.ENSP00000356954,18
cpi_9606.ENSP00000298440,18
cpi_9606.ENSP00000240687,18
cpi_9606.ENSP00000240615,18
cpi_9606.ENSP00000295454,18
cpi_9606.ENSP00000384708,18
cpi_9606.ENSP00000240691,18
cpi_9606.ENSP00000375095,18
cpi_9606.ENSP00000247879,18
cpi_9606.ENSP00000259631,18
cpi_9606.ENSP00000248041,18
cpi_9606.ENSP00000393312,18
cpi_9606.ENSP00000247883,18
cpi_9606.ENSP00000295137,18
cpi_9606.ENSP00000375091,18
cpi_9606.ENSP00000264896,17
cpi_9606.ENSP00000222390,17
cpi_9606.ENSP00000366620,17
cpi_9606.ENSP00000270570,17
cpi_9606.ENSP00000353679,17
cpi_9606.ENSP00000252804,17
cpi_9606.ENSP00000344789,17
cpi_9606.ENSP00000381333,17
cpi_9606.ENSP00000382659,17
cpi_9606.ENSP00000222002,17
cpi_9606.ENSP00000331602,17
cpi_9606.ENSP00000253727,17
cpi_9606.ENSP00000254227,17
cpi_9606.ENSP00000231228,17
cpi_9606.ENSP00000348645,17
cpi_9606.ENSP00000261465,17
cpi_9606.ENSP00000308165,17
cpi_9606.ENSP00000257770,17
cpi_9606.ENSP00000377192,17
cpi_9606.ENSP00000319788,17
cpi_9606.ENSP00000349078,17
cpi_9606.ENSP00000370473,17
cpi_9606.ENSP00000410294,17
cpi_9606.ENSP00000262948,17
cpi_9606.ENSP00000378323,17
cpi_9606.ENSP00000311430,17
cpi_9606.ENSP00000256104,17
cpi_9606.ENSP00000260102,17
cpi_9606.ENSP00000255084,17
cpi_9606.ENSP00000412673,17
cpi_9606.ENSP00000261733,17
cpi_9606.ENSP00000309477,17
cpi_9606.ENSP00000365012,17
cpi_9606.ENSP00000303424,17
cpi_9606.ENSP00000303208,17
cpi_9606.ENSP00000338627,17
cpi_9606.ENSP00000305742,17
cpi_9606.ENSP00000299847,17
cpi_9606.ENSP00000335544,17
cpi_9606.ENSP00000178638,17
cpi_9606.ENSP00000359793,17
cpi_9606.ENSP00000359719,17
cpi_9606.ENSP00000443194,17
cpi_9606.ENSP00000274547,17
cpi_9606.ENSP00000356671,17
cpi_9606.ENSP00000294954,17
cpi_9606.ENSP00000301891,17
cpi_9606.ENSP00000339527,17
cpi_9606.ENSP00000300738,17
cpi_9606.ENSP00000300289,17
cpi_9606.ENSP00000391826,16
cpi_9606.ENSP00000358784,16
cpi_9606.ENSP00000389414,16
cpi_9606.ENSP00000262352,16
cpi_9606.ENSP00000408526,16
cpi_9606.ENSP00000262017,16
cpi_9606.ENSP00000361151,16
cpi_9606.ENSP00000298472,16
cpi_9606.ENSP00000291295,16
cpi_9606.ENSP00000427562,16
cpi_9606.ENSP00000302728,16
cpi_9606.ENSP00000253099,16
cpi_9606.ENSP00000301633,16
cpi_9606.ENSP00000318912,16
cpi_9606.ENSP00000397582,16
cpi_9606.ENSP00000317272,16
cpi_9606.ENSP00000377865,16
cpi_9606.ENSP00000237527,16
cpi_9606.ENSP00000451605,16
cpi_9606.ENSP00000358424,16
cpi_9606.ENSP00000226574,16
cpi_9606.ENSP00000295589,16
cpi_9606.ENSP00000259396,16
cpi_9606.ENSP00000336701,16
cpi_9606.ENSP00000078429,16
cpi_9606.ENSP00000235382,16
cpi_9606.ENSP00000257290,16
cpi_9606.ENSP00000376432,16
cpi_9606.ENSP00000410076,16
cpi_9606.ENSP00000361965,16
cpi_9606.ENSP00000369757,16
cpi_9606.ENSP00000264399,16
cpi_9606.ENSP00000310219,16
cpi_9606.ENSP00000275216,16
cpi_9606.ENSP00000363676,16
cpi_9606.ENSP00000251595,16
cpi_9606.ENSP00000333821,16
cpi_9606.ENSP00000325822,16
cpi_9606.ENSP00000332296,16
cpi_9606.ENSP00000249750,16
cpi_9606.ENSP00000266376,16
cpi_9606.ENSP00000353224,16
cpi_9606.ENSP00000306817,16
cpi_9606.ENSP00000274335,16
cpi_9606.ENSP00000267101,16
cpi_9606.ENSP00000332369,16
cpi_9606.ENSP00000356162,16
cpi_9606.ENSP00000264613,16
cpi_9606.ENSP00000363115,16
cpi_9606.ENSP00000278175,16
cpi_9606.ENSP00000282753,16
cpi_9606.ENSP00000312286,16
cpi_9606.ENSP00000362353,16
cpi_9606.ENSP00000263269,16
cpi_9606.ENSP00000362401,16
cpi_9606.ENSP00000368752,16
cpi_9606.ENSP00000445175,16
cpi_9606.ENSP00000311469,16
